analysis_id	is_genus	is_binom	num_tax	num_tax2
36868	10	7	17	17
36869	11	16	27	27
36870	9	16	25	25
36871	5	10	15	15
36872	5	12	17	17
36873	9	15	24	24
36874	8	12	20	20
36875	13	24	37	37
36876	9	5	14	14
36877	9	10	19	19
36878	7	5	12	12
36879	6	4	10	10
36880	7	8	15	15
36881	1	4	5	5
36882	1	6	7	7
36883	1	0	1	1
36884	4	7	11	11
36885	4	3	7	7
36886	0	2	2	2
36887	3	4	7	7
36888	0	0	0	0
36889	3	5	8	8
36890	1	0	1	1
36891	1	0	1	1
36892	0	1	1	1
36893	1	0	1	1
36894	1	0	1	1
36895	0	0	0	0
36896	0	0	0	0
36897	1	0	1	1
36898	0	0	0	0
36899	0	0	0	0
36900	4	2	6	6
36901	0	0	0	0
36902	0	4	4	4
36903	0	3	3	3
36904	1	4	5	5
36905	0	3	3	3
36906	0	0	0	0
36907	0	0	0	0
36908	0	0	0	0
36909	0	0	0	0
36910	0	0	0	0
36911	0	0	0	0
36912	0	0	0	0
36913	0	0	0	0
36914	0	0	0	0
36915	0	0	0	0
36916	0	0	0	0
36917	3	3	6	6
36918	4	3	7	7
36919	0	0	0	0
36920	1	1	2	2
36921	1	1	2	2
36922	0	2	2	2
36923	0	1	1	1
36924	1	1	2	2
36925	7	17	24	24
36926	0	1	1	1
36927	0	1	1	1
36928	6	11	17	17
36929	5	14	19	19
36930	4	14	18	18
36931	1	6	7	7
36932	2	7	9	9
36933	10	6	16	16
36934	8	9	17	17
36935	8	7	15	15
36936	4	8	12	12
36937	8	5	13	13
36938	5	5	10	10
36939	6	4	10	10
36940	5	5	10	10
36941	0	2	2	2
36942	1	3	4	4
36943	3	5	8	8
36944	1	6	7	7
36945	0	0	0	0
36946	0	6	6	6
36947	1	5	6	6
36948	2	7	9	9
36949	9	6	15	15
36950	13	9	22	22
36951	15	6	21	21
36952	11	13	24	24
36953	13	15	28	28
36954	15	17	32	32
36955	8	4	12	12
36956	12	5	17	17
36957	14	6	20	20
36958	12	12	24	24
36959	12	8	20	20
36960	7	12	19	19
36961	13	4	17	17
36962	14	7	21	21
36963	16	6	22	22
36964	12	4	16	16
36965	14	7	21	21
36966	9	4	13	13
36967	12	10	22	22
36968	15	6	21	21
36969	16	9	25	25
36970	14	9	23	23
36971	14	9	23	23
36972	15	9	24	24
36973	14	13	27	27
36974	13	5	18	18
36975	5	7	12	12
36976	9	12	21	21
36977	14	11	25	25
36978	11	18	29	29
36979	15	12	27	27
36980	13	12	25	25
36981	14	12	26	26
36982	12	14	26	26
36983	16	14	30	30
36984	15	14	29	29
36985	16	12	28	28
36986	12	13	25	25
36987	9	9	18	18
36988	12	11	23	23
36989	9	7	16	16
36990	12	9	21	21
36991	11	11	22	22
36992	14	9	23	23
36993	16	6	22	22
36994	9	13	22	22
36995	11	13	24	24
36996	8	9	17	17
36997	9	15	24	24
36998	12	14	26	26
36999	11	11	22	22
37000	15	14	29	29
37001	16	6	22	22
37002	4	7	11	11
37003	0	1	1	1
37004	13	31	44	44
37005	17	36	53	53
37006	9	20	29	29
37007	12	24	36	36
37008	3	8	11	11
37009	1	9	10	10
37010	6	10	16	16
37011	4	5	9	9
37012	5	15	20	20
37013	5	10	15	15
37014	2	4	6	6
37015	2	8	10	10
37016	2	5	7	7
37017	7	9	16	16
37018	6	10	16	16
37019	3	12	15	15
37020	2	5	7	7
37021	3	7	10	10
37022	6	12	18	18
37023	5	11	16	16
37024	2	6	8	8
37025	4	4	8	8
37026	0	7	7	7
37027	0	1	1	1
37028	2	4	6	6
37029	2	12	14	14
37030	5	15	20	20
37031	3	9	12	12
37032	4	5	9	9
37033	5	8	13	13
37034	6	17	23	23
37035	8	11	19	19
37036	1	9	10	10
37037	6	7	13	13
37038	6	12	18	18
37039	5	9	14	14
37040	5	13	18	18
37041	2	6	8	8
37042	6	16	22	22
37043	3	10	13	13
37044	4	13	17	17
37045	2	8	10	10
37046	4	13	17	17
37047	3	13	16	16
37048	3	10	13	13
37049	4	8	12	12
37050	9	12	21	21
37051	7	11	18	18
37052	6	14	20	20
37053	4	6	10	10
37054	5	9	14	14
37055	5	10	15	15
37056	4	11	15	15
37057	6	12	18	18
37058	6	9	15	15
37059	5	10	15	15
37060	6	18	24	24
37061	5	8	13	13
37062	10	12	22	22
37063	7	7	14	14
37064	5	13	18	18
37065	6	12	18	18
37066	4	9	13	13
37067	6	7	13	13
37068	8	15	23	23
37069	10	14	24	24
37070	5	21	26	26
37071	8	16	24	24
37072	8	10	18	18
37073	5	17	22	22
37074	6	8	14	14
37075	10	9	19	19
37076	8	15	23	23
37077	9	13	22	22
37078	10	16	26	26
37079	12	10	22	22
37080	8	9	17	17
37081	13	18	31	31
37082	7	14	21	21
37083	5	14	19	19
37084	11	11	22	22
37085	10	13	23	23
37086	6	14	20	20
37087	12	17	29	29
37088	7	11	18	18
37089	13	19	32	32
37090	14	10	24	24
37091	16	19	35	35
37092	14	24	38	38
37093	1	6	7	7
37094	2	9	11	11
37095	3	9	12	12
37096	1	7	8	8
37097	6	12	18	18
37098	9	21	30	30
37099	5	22	27	27
37100	6	20	26	26
37101	7	20	27	27
37102	5	23	28	28
37103	5	24	29	29
37104	6	22	28	28
37105	5	21	26	26
37106	4	20	24	24
37107	5	24	29	29
37108	7	28	35	35
37109	7	5	12	12
37110	8	6	14	14
37111	16	6	22	22
37112	6	5	11	11
37113	9	4	13	13
37114	12	4	16	16
37115	7	5	12	12
37116	8	7	15	15
37117	6	8	14	14
37118	3	7	10	10
37119	9	6	15	15
37120	11	4	15	15
37121	6	5	11	11
37122	7	3	10	10
37123	9	6	15	15
37124	9	2	11	11
37125	10	4	14	14
37126	7	3	10	10
37127	11	6	17	17
37128	10	4	14	14
37129	7	4	11	11
37130	6	4	10	10
37131	9	3	12	12
37132	7	4	11	11
37133	10	5	15	15
37134	5	9	14	14
37135	8	5	13	13
37136	5	8	13	13
37137	6	2	8	8
37138	7	9	16	16
37139	11	6	17	17
37140	5	8	13	13
37141	9	6	15	15
37142	4	6	10	10
37143	7	7	14	14
37144	5	7	12	12
37145	7	3	10	10
37146	8	3	11	11
37147	8	3	11	11
37148	13	5	18	18
37149	11	4	15	15
37150	10	8	18	18
37151	11	5	16	16
37152	11	6	17	17
37153	17	9	26	26
37154	11	4	15	15
37155	11	8	19	19
37156	10	4	14	14
37157	8	3	11	11
37158	9	5	14	14
37159	10	5	15	15
37160	15	4	19	19
37161	10	6	16	16
37162	12	5	17	17
37163	11	4	15	15
37164	14	7	21	21
37165	12	4	16	16
37166	10	6	16	16
37167	9	5	14	14
37168	11	4	15	15
37169	12	9	21	21
37170	12	5	17	17
37171	7	4	11	11
37172	15	8	23	23
37173	10	4	14	14
37174	9	5	14	14
37175	12	3	15	15
37176	10	5	15	15
37177	10	5	15	15
37178	11	6	17	17
37179	9	5	14	14
37180	8	3	11	11
37181	19	6	25	25
37182	12	4	16	16
37183	13	8	21	21
37184	15	7	22	22
37185	0	0	0	0
37186	1	2	3	3
37187	2	9	11	11
37188	10	34	44	44
37189	5	6	11	11
37190	3	5	8	8
37191	2	4	6	6
37192	5	13	18	18
37193	3	5	8	8
37194	3	8	11	11
37195	5	8	13	13
37196	0	5	5	5
37197	9	9	18	18
37198	3	8	11	11
37199	6	7	13	13
37200	4	6	10	10
37201	2	5	7	7
37202	6	8	14	14
37203	2	4	6	6
37204	5	4	9	9
37205	3	5	8	8
37206	6	4	10	10
37207	3	4	7	7
37208	10	9	19	19
37209	2	9	11	11
37210	5	6	11	11
37211	7	6	13	13
37212	5	6	11	11
37213	1	9	10	10
37214	7	6	13	13
37215	9	17	26	26
37216	9	17	26	26
37217	1	6	7	7
37218	4	10	14	14
37219	3	9	12	12
37220	3	7	10	10
37221	4	14	18	18
37222	2	11	13	13
37223	2	9	11	11
37224	4	4	8	8
37225	1	4	5	5
37226	3	5	8	8
37227	3	8	11	11
37228	4	4	8	8
37229	3	6	9	9
37230	3	8	11	11
37231	3	1	4	4
37232	5	5	10	10
37233	1	4	5	5
37234	3	5	8	8
37235	0	2	2	2
37236	0	7	7	7
37237	0	7	7	7
37238	6	9	15	15
37239	4	19	23	23
37240	1	6	7	7
37241	4	15	19	19
37242	6	25	31	31
37243	4	8	12	12
37244	11	10	21	21
37245	9	15	24	24
37246	5	10	15	15
37247	4	10	14	14
37248	3	6	9	9
37249	6	11	17	17
37250	4	10	14	14
37251	4	8	12	12
37252	5	11	16	16
37253	6	11	17	17
37254	9	14	23	23
37255	4	7	11	11
37256	4	9	13	13
37257	7	14	21	21
37258	4	9	13	13
37259	5	9	14	14
37260	7	7	14	14
37261	8	10	18	18
37262	7	13	20	20
37263	3	4	7	7
37264	6	7	13	13
37265	5	6	11	11
37266	8	10	18	18
37267	5	7	12	12
37268	7	8	15	15
37269	6	7	13	13
37270	11	11	22	22
37271	7	7	14	14
37272	9	8	17	17
37273	5	5	10	10
37274	4	8	12	12
37275	6	7	13	13
37276	8	8	16	16
37277	11	11	22	22
37278	6	8	14	14
37279	5	9	14	14
37280	8	8	16	16
37281	5	8	13	13
37282	6	3	9	9
37283	5	11	16	16
37284	7	7	14	14
37285	7	9	16	16
37286	7	8	15	15
37287	6	13	19	19
37288	7	8	15	15
37289	4	13	17	17
37290	4	10	14	14
37291	7	14	21	21
37292	6	14	20	20
37293	7	16	23	23
37294	3	8	11	11
37295	6	7	13	13
37296	7	16	23	23
37297	6	9	15	15
37298	6	15	21	21
37299	9	9	18	18
37300	7	17	24	24
37301	7	13	20	20
37302	4	7	11	11
37303	7	13	20	20
37304	2	14	16	16
37305	5	9	14	14
37306	0	9	9	9
37307	8	15	23	23
37308	2	5	7	7
37309	3	18	21	21
37310	0	6	6	6
37311	0	11	11	11
37312	0	8	8	8
37313	0	11	11	11
37314	0	8	8	8
37315	0	9	9	9
37316	1	6	7	7
37317	3	8	11	11
37318	5	16	21	21
37319	3	13	16	16
37320	5	11	16	16
37321	5	11	16	16
37322	7	17	24	24
37323	7	15	22	22
37324	1	10	11	11
37325	8	10	18	18
37326	1	10	11	11
37327	3	6	9	9
37328	2	0	2	2
37329	0	0	0	0
37330	1	9	10	10
37331	0	4	4	4
37332	2	1	3	3
37333	0	1	1	1
37334	0	1	1	1
37335	0	1	1	1
37336	1	0	1	1
37337	3	16	19	19
37338	0	0	0	0
37339	2	1	3	3
37340	1	1	2	2
37341	0	1	1	1
37342	2	7	9	9
37343	1	17	18	18
37344	0	2	2	2
37345	1	0	1	1
37346	0	1	1	1
37347	2	15	17	17
37348	2	8	10	10
37349	1	9	10	10
