Age (yrs BP),90-30N (°C),1σ uncertainty (°C)
10810,1.33,0.31
10830,1.33,0.31
10850,1.33,0.31
10870,1.33,0.31
10890,1.34,0.31
10910,1.34,0.31
10930,1.34,0.31
10950,1.34,0.31
10970,1.35,0.31
10990,1.35,0.31
11010,1.35,0.31
11030,1.36,0.31
11050,1.36,0.31
11070,1.36,0.31
11090,1.36,0.31
11110,1.37,0.31
11130,1.37,0.31
11150,1.37,0.31
11170,1.38,0.31
11190,1.38,0.31
11210,1.38,0.31
11230,1.38,0.31
11250,1.39,0.31
11270,1.39,0.31
