"plot_name"	"MAT_wc"	"MAT_pred"	"MinT_wc"	"MinT_pred"	"MaxT_wc"	"MaxT_pred"	"MAP_wc"	"MAP_pred"	"wbalann_wc"	"wbalann_pred"	"winterlen_wc"	"winterlen_pred"	"NA"	"NA"
"75"	"SCCMA"	98	113.507572056668	-103	-85.1028334147533	317	302.978016609673	235	264.946262823644	-407.935040521134	-383.565613766733	5	3.93356130923303	83	72.4555446995603
"76"	"FISH1"	121	84.1929653150953	-79	-92.9286761113825	348	273.089399120664	225	418.091353199805	-519.433579475029	-151.549347217218	3	5.00341963849536	53	80.0661944308744
"77"	"FISH4"	121	111.33268197362	-79	-86.399609184172	348	306.460185637519	225	256.662921348315	-519.433579475029	-434.821980001456	3	3.98045920859794	53	68.2274059599414
"78"	"FISH5"	121	105.323888617489	-79	-85.2388861748901	348	283.439179286761	225	281.961406936981	-519.433579475029	-360.990283158756	3	3.99804592085979	53	77.5293111871031
"79"	"FISH6"	121	107.226673180264	-79	-83.2076209086468	348	297.948216902785	225	256.662921348315	-519.433579475029	-448.38290391134	3	3.99511480214949	53	74.5696140693698
"80"	"FISH7"	121	95.1089399120664	-79	-92.3483146067416	348	303.558378114314	225	277.142647777235	-519.433579475029	-356.469975188794	3	4.1152906692721	53	81.3346360527601
"81"	"FISH9"	121	114.136785539814	-79	-73.7767464582316	348	290.596971177333	225	263.891060087934	-519.433579475029	-440.849057294738	3	2.06643869076697	53	75.4152418172936
"82"	"SLM1(2)"	143	152.95359062042	-21	36.8280410356619	344	397.719101123595	196	128.19638495359	-596.964903686374	-1115.88171414229	2	0.0586223742061553	21	18.6636541279921
"83"	"GD13"	78	94.2252076209087	-81	-79.0759648265755	294	304.398876404495	255	245.26013678554	-327.220102673302	-379.071515038601	5	3.99511480214949	51	46.9255007327797
"84"	"GD5"	78	80.0959941377626	-81	-78.4887640449438	294	307.584269662921	255	252.079384465071	-327.220102673302	-380.578284361921	5	4.0009770395701	51	47.3180263800684
"85"	"GD6"	78	79.9731314118222	-81	-77.4611626770885	294	287.41011235955	255	260.035173424524	-327.220102673302	-356.469975188794	5	3.99804592085979	51	47.7105520273571
"86"	"GD7"	78	79.9731314118222	-81	-77.9015632633122	294	283.044943820224	255	255.489008304836	-327.220102673302	-371.537668421999	5	3.99511480214948	51	47.3180263800684
"87"	"GD8"	78	97.1739130434783	-81	-76.5803615046409	294	312.421348314606	255	250.942843185149	-327.220102673302	-415.233978798291	5	3.99511480214949	51	46.1404494382023
"88"	"GD9"	78	85.6248168050806	-81	-77.3143624816805	294	289.297752808989	255	254.352467024914	-327.220102673302	-385.098592331883	5	4.0009770395701	51	47.3180263800684
"89"	"NOLF1"	79	86.976306790425	-79	-74.5251587689301	294	283.516853932584	249	266.854421104054	-336.469683990428	-397.152746918445	5	3.99511480214949	50	45.3553981436249
"90"	"RA2"	92	80.7103077674645	-72	-77.9345383488031	315	303.337078651685	227	264.581338544211	-398.640898490366	-354.963205865474	5	4.00097703957011	46	47.7105520273571
"91"	"RA3"	92	81.3246213971666	-72	-76.900097703957	315	287.52808988764	227	264.581338544211	-398.640898490366	-351.949667218833	5	4.00097703957011	46	48.4956033219346
"92"	"DOL2"	78	110.542256961407	-111	-82.9501709819248	293	284.793356130923	442	404.839765510504	-137.791325589361	-186.334168188715	5	3.97459697117733	105	74.9924279433317
"93"	"DOL3"	78	114.56765999023	-111	-82.6531509526136	293	287.598436736688	442	372.313141182218	-137.791325589361	-242.265473651138	5	3.97166585246703	105	59.7711284807034
"94"	"DOL4(1)"	78	114.467024914509	-111	-81.4650708353688	293	287.888617489009	442	380.745969711773	-137.791325589361	-231.962338434376	5	3.96873473375671	105	63.5764533463606
"95"	"DOL4(2)"	78	114.265754763068	-111	-84.7322911577919	293	287.695163654128	442	387.974108451392	-137.791325589361	-240.7935971916	5	3.96580361504641	105	72.4555446995604
"96"	"DOL5"	78	121.209574987787	-111	-80.4255007327797	293	319.421592574499	442	375.927210552028	-137.791325589361	-304.084284951711	5	3.02198339032731	105	72.0327308255984
"97"	"EEM1"	184	144.66536394724	5	-2.10454323400094	384	374.265754763067	270	242.206643869077	-743.851187526935	-505.640138197516	0	2.01660967269174	73	45.8182706399609
"98"	"EEM10"	184	186.545188080117	5	45.8143624816805	384	388.291157791891	270	160.287738153395	-743.851187526935	-834.115850681367	0	0.00586223742061555	73	20.4494382022472
"99"	"EEM11"	184	211.985344406449	5	40.0359062042013	384	389.161700048852	270	139.808011724475	-743.851187526935	-1103.82755955573	0	0.0087933561309233	73	37.361993160723
"100"	"EEM2"	184	157.4313629702	5	19.4589643380557	384	383.744992672203	270	226.545676599902	-743.851187526935	-577.965065716896	0	0.0087933561309233	73	44.5498290180752
"101"	"EEM3"	184	207.209574987787	5	41.7271617000489	384	388.194430874451	270	145.831460674157	-743.851187526935	-1100.81402090908	0	0.0087933561309233	73	36.0935515388373
"102"	"EEM5"	184	209.689301416708	5	38.3446507083538	384	392.450415241817	270	150.650219833903	-743.851187526935	-1091.77340496915	0	0.00586223742061555	73	38.2076209086468
"103"	"EEM6"	184	211.250610649731	5	37.3580850024426	384	392.353688324377	270	142.217391304348	-743.851187526935	-1103.82755955573	0	0.0087933561309233	73	36.9391792867611
"104"	"EEM7"	184	211.434294088911	5	42.2909135319981	384	391.579872984856	270	144.62677088422	-743.851187526935	-1127.93586872885	0	0.00586223742061555	73	36.9391792867611
"105"	"EEM8"	184	212.536394723987	5	42.9956033219346	384	393.030776746459	270	128.965803615046	-743.851187526935	-1121.90879143557	0	0.00586223742061555	73	31.8654127992184
"106"	"EEM9"	184	217.587689301417	5	53.2840742550074	384	390.225696140694	270	130.170493404982	-743.851187526935	-1117.38848346561	0	0.00586223742061555	73	30.1741573033708
"107"	"EBTM10"	53	77.5837811431362	-150	-88.9096238397655	293	281.270884220811	268	347.548851978505	-273.287373568304	-300.719510225939	5	5.98241328773815	67	70.4770395701026
"108"	"EBTM24"	53	91.9521250610649	-151	-84.0869565217391	294	288.763556424036	262	250.942843185149	-281.81382165769	-350.442897895513	5	4.00390815828041	67	52.4208597948217
"109"	"EBTM6"	53	76.247191011236	-150	-88.9096238397655	293	284.2679531021	268	279.356375183195	-273.287373568304	-315.787203459143	5	4.0009770395701	67	60.271372740596
"110"	"EBTM7"	53	87.7195896433806	-150	-88.9096238397655	293	285.067171470444	268	267.990962383977	-273.287373568304	-327.841358045706	5	3.99218368343918	67	57.9162188568637
"111"	"EBTM8"	53	76.6927210552028	-150	-87.4025403028822	293	281.670493404983	268	283.902540302882	-273.287373568304	-318.800742105784	5	4.0009770395701	67	61.0564240351734
"112"	"SAW1A"	107	140.151441133366	-52	-26.6304347826087	305	323.091353199805	303	226.545676599902	-352.903712165067	-505.640138197516	4	2.14851001465559	74	45.7479237909135
"113"	"SAW1D"	107	135.930630190522	-52	-28.7738153395212	305	324.920371275036	303	236.183194919395	-352.903712165067	-498.106291580914	4	2.08695652173913	74	47.3180263800684
"114"	"CHU1"	62	122.457987298486	-93	-71.5300439667807	256	324.354665363948	474	262.686370297997	-35.7653073150346	-470.984443761147	6	2.752320468979	124	62.7308255984368
